title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"Batman Begins";2005;http://www.icheckmovies.com/movies/batman+begins/;94358;5285;11;481;;http://www.imdb.com/title/tt0372784/;"2014-04-23 22:08:56";no;no;no;no
"Indiana Jones and the Last Crusade";1989;http://www.icheckmovies.com/movies/indiana+jones+and+the+last+crusade/;71319;3846;13;351;;http://www.imdb.com/title/tt0097576/;"2014-04-23 22:08:47";no;no;no;no
"Lawrence of Arabia";1962;http://www.icheckmovies.com/movies/lawrence+of+arabia/;23908;2115;38;618;;http://www.imdb.com/title/tt0056172/;"2014-04-23 22:08:26";no;no;no;no
Braveheart;1995;http://www.icheckmovies.com/movies/braveheart/;71284;3721;19;383;;http://www.imdb.com/title/tt0112573/;"2014-04-23 22:08:25";no;no;no;no
"Star Wars: Episode VI - Return of the Jedi";1983;http://www.icheckmovies.com/movies/star+wars+episode+vi+-+return+of+the+jedi/;82542;4898;18;509;;http://www.imdb.com/title/tt0086190/;"2014-04-23 22:08:24";no;no;no;no
"Reservoir Dogs";1992;http://www.icheckmovies.com/movies/reservoir+dogs/;71777;7923;20;696;;http://www.imdb.com/title/tt0105236/;"2014-04-23 22:08:21";no;no;no;no
Oldeuboi;2003;http://www.icheckmovies.com/movies/oldeuboi/;34295;5030;20;550;;http://www.imdb.com/title/tt0364569/;"2014-04-23 22:08:17";no;no;no;no
WALL·E;2008;http://www.icheckmovies.com/movies/walle/;94699;8052;17;542;;http://www.imdb.com/title/tt0910970/;"2014-04-23 22:08:09";no;no;no;no
"Das Leben der Anderen";2006;http://www.icheckmovies.com/movies/das+leben+der+anderen/;24472;3165;16;397;"The Lives of Others";http://www.imdb.com/title/tt0405094/;"2014-04-23 22:07:56";no;no;no;no
"Back to the Future";1985;http://www.icheckmovies.com/movies/back+to+the+future/;98675;8540;21;650;;http://www.imdb.com/title/tt0088763/;"2014-04-23 22:07:47";no;no;no;no
Gladiator;2000;http://www.icheckmovies.com/movies/gladiator/;90705;6162;20;509;;http://www.imdb.com/title/tt0172495/;"2014-04-23 22:07:46";no;no;no;no
"The Pianist";2002;http://www.icheckmovies.com/movies/the+pianist/;54889;4415;16;426;;http://www.imdb.com/title/tt0253474/;"2014-04-23 22:07:43";no;no;no;no
"Apocalypse Now";1979;http://www.icheckmovies.com/movies/apocalypse+now/;51232;5168;33;791;;http://www.imdb.com/title/tt0078788/;"2014-04-23 22:07:42";no;no;no;no
"Terminator 2: Judgment Day";1991;http://www.icheckmovies.com/movies/terminator+2+judgment+day/;75276;5096;19;529;;http://www.imdb.com/title/tt0103064/;"2014-04-23 22:07:37";no;no;no;no
"C'era una volta il West";1968;http://www.icheckmovies.com/movies/cera+una+volta+il+west/;21883;2853;22;576;"Once Upon a Time in the West";http://www.imdb.com/title/tt0064116/;"2014-04-23 22:07:23";yes;no;no;no
"Star Wars";1977;http://www.icheckmovies.com/movies/star+wars/;92915;7722;33;830;;http://www.imdb.com/title/tt0076759/;"2014-04-23 22:07:19";no;no;no;no
Inception;2010;http://www.icheckmovies.com/movies/inception/;103639;13318;15;775;;http://www.imdb.com/title/tt1375666/;"2014-04-23 22:07:13";no;no;no;no
"Star Wars: Episode V - The Empire Strikes Back";1980;http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/;88908;7728;22;701;;http://www.imdb.com/title/tt0080684/;"2014-04-23 22:06:59";no;no;no;no
"Il buono, il brutto, il cattivo.";1966;http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo./;38978;5666;21;690;"The Good, the Bad and the Ugly";http://www.imdb.com/title/tt0060196/;"2014-04-23 22:06:54";no;no;no;no
"The Wizard of Oz";1939;http://www.icheckmovies.com/movies/the+wizard+of+oz/;73283;3004;31;580;;http://www.imdb.com/title/tt0032138/;"2014-04-23 22:06:08";no;no;no;no
"Vicky Cristina Barcelona";2008;http://www.icheckmovies.com/movies/vicky+cristina+barcelona/;16196;957;2;160;;http://www.imdb.com/title/tt0497465/;"2014-04-23 22:06:00";no;no;no;no
"V for Vendetta";2005;http://www.icheckmovies.com/movies/v+for+vendetta/;86262;8295;8;405;;http://www.imdb.com/title/tt0434409/;"2014-04-23 22:05:56";no;no;no;no
"The Usual Suspects";1995;http://www.icheckmovies.com/movies/the+usual+suspects/;58523;6269;21;554;;http://www.imdb.com/title/tt0114814/;"2014-04-23 22:05:54";no;no;yes;no
Ted;2012;http://www.icheckmovies.com/movies/ted/;19626;615;1;198;;http://www.imdb.com/title/tt1637725/;"2014-04-23 22:05:45";no;no;no;no
"Taxi Driver";1976;http://www.icheckmovies.com/movies/taxi+driver/;54851;5771;30;841;;http://www.imdb.com/title/tt0075314/;"2014-04-23 22:05:44";no;no;no;no
Tangled;2010;http://www.icheckmovies.com/movies/tangled/;39670;2579;4;227;;http://www.imdb.com/title/tt0398286/;"2014-04-23 22:05:40";no;no;no;no
"Superman Returns";2006;http://www.icheckmovies.com/movies/superman+returns/;29052;197;2;118;;http://www.imdb.com/title/tt0348150/;"2014-04-23 22:05:26";no;no;no;no
Superbad;2007;http://www.icheckmovies.com/movies/superbad/;47844;2593;4;243;;http://www.imdb.com/title/tt0829482/;"2014-04-23 22:05:21";no;no;no;no
"Stuart Little";1999;http://www.icheckmovies.com/movies/stuart+little/;46501;232;2;68;;http://www.imdb.com/title/tt0164912/;"2014-04-23 22:05:20";no;no;no;no
"Straw Dogs";1971;http://www.icheckmovies.com/movies/straw+dogs/;6431;496;8;227;;http://www.imdb.com/title/tt0067800/;"2014-04-23 22:05:17";yes;no;no;no
Stardust;2007;http://www.icheckmovies.com/movies/stardust/;18562;1310;1;130;;http://www.imdb.com/title/tt0486655/;"2014-04-23 22:05:12";no;no;no;no
"Shrek 2";2004;http://www.icheckmovies.com/movies/shrek+2/;72800;1056;4;201;;http://www.imdb.com/title/tt0298148/;"2014-04-23 22:05:02";no;no;no;no
Shrek;2001;http://www.icheckmovies.com/movies/shrek/;90313;2666;11;312;;http://www.imdb.com/title/tt0126029/;"2014-04-23 22:05:01";no;no;no;no
"The Shining";1980;http://www.icheckmovies.com/movies/the+shining/;76673;7391;21;809;;http://www.imdb.com/title/tt0081505/;"2014-04-23 22:04:59";no;no;no;no
"Sherlock Holmes";2009;http://www.icheckmovies.com/movies/sherlock+holmes/;60465;2797;2;236;;http://www.imdb.com/title/tt0988045/;"2014-04-23 22:04:57";no;no;no;no
"The Shawshank Redemption";1994;http://www.icheckmovies.com/movies/the+shawshank+redemption/;88178;13721;21;725;;http://www.imdb.com/title/tt0111161/;"2014-04-23 22:04:53";no;no;no;no
"Shaun of the Dead";2004;http://www.icheckmovies.com/movies/shaun+of+the+dead/;61929;5680;12;468;;http://www.imdb.com/title/tt0365748/;"2014-04-23 22:04:51";no;no;no;no
Shame;2011;http://www.icheckmovies.com/movies/shame-2011/;11561;1027;2;254;;http://www.imdb.com/title/tt1723811/;"2014-04-23 22:04:50";no;no;no;no
"Shallow Hal";2001;http://www.icheckmovies.com/movies/shallow+hal/;8407;115;1;45;;http://www.imdb.com/title/tt0256380/;"2014-04-23 22:04:49";no;no;no;no
"Shakespeare in Love";1998;http://www.icheckmovies.com/movies/shakespeare+in+love/;33344;1095;11;197;;http://www.imdb.com/title/tt0138097/;"2014-04-23 22:04:47";no;no;no;no
Senna;2010;http://www.icheckmovies.com/movies/senna/;5032;600;3;129;;http://www.imdb.com/title/tt1424432/;"2014-04-23 22:04:45";no;no;no;no
"Sen to Chihiro no kamikakushi";2001;http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/;50437;7197;30;671;"Spirited Away";http://www.imdb.com/title/tt0245429/;"2014-04-23 22:04:44";no;no;no;no
"Requiem for a Dream";2000;http://www.icheckmovies.com/movies/requiem+for+a+dream/;62819;6674;16;539;;http://www.imdb.com/title/tt0180093/;"2014-04-23 22:04:12";no;no;no;no
"Raiders of the Lost Ark";1981;http://www.icheckmovies.com/movies/raiders+of+the+lost+ark/;75435;5487;25;626;;http://www.imdb.com/title/tt0082971/;"2014-04-23 22:04:07";no;no;no;no
"Peter Pan";1953;http://www.icheckmovies.com/movies/peter+pan-1953-1/;31155;594;1;143;;http://www.imdb.com/title/tt0046183/;"2014-04-23 22:03:53";no;no;no;no
"One Hundred and One Dalmatians";1961;http://www.icheckmovies.com/movies/one+hundred+and+one+dalmatians/;52178;725;6;130;;http://www.imdb.com/title/tt0055254/;"2014-04-23 22:03:51";no;no;no;no
"Office Space";1999;http://www.icheckmovies.com/movies/office+space/;32337;2872;4;209;;http://www.imdb.com/title/tt0151804/;"2014-04-23 22:03:38";no;no;no;no
"Men in Black II";2002;http://www.icheckmovies.com/movies/men+in+black+ii/;54657;478;2;123;;http://www.imdb.com/title/tt0120912/;"2014-04-23 22:03:12";no;no;no;no
"Meet the Parents";2000;http://www.icheckmovies.com/movies/meet+the+parents/;52127;783;3;127;;http://www.imdb.com/title/tt0212338/;"2014-04-23 22:03:04";no;no;no;no
"Mean Girls";2004;http://www.icheckmovies.com/movies/mean+girls/;39218;2207;2;200;;http://www.imdb.com/title/tt0377092/;"2014-04-23 22:02:54";no;no;no;no
"Me, Myself & Irene";2000;http://www.icheckmovies.com/movies/me+myself+and+irene/;13688;266;1;65;;http://www.imdb.com/title/tt0183505/;"2014-04-23 22:02:53";no;no;no;no
"The Matrix Revolutions";2003;http://www.icheckmovies.com/movies/the+matrix+revolutions/;50809;946;2;188;;http://www.imdb.com/title/tt0242653/;"2014-04-23 22:02:49";no;no;no;no
"The Matrix Reloaded";2003;http://www.icheckmovies.com/movies/the+matrix+reloaded/;57421;1255;3;216;;http://www.imdb.com/title/tt0234215/;"2014-04-23 22:02:48";no;no;no;no
"The Matrix";1999;http://www.icheckmovies.com/movies/the+matrix/;108723;10239;21;743;;http://www.imdb.com/title/tt0133093/;"2014-04-23 22:02:47";no;no;no;no
Matilda;1996;http://www.icheckmovies.com/movies/matilda/;17071;698;0;63;;http://www.imdb.com/title/tt0117008/;"2014-04-23 22:02:45";no;no;no;no
"Master and Commander: The Far Side of the World";2003;http://www.icheckmovies.com/movies/master+and+commander+the+far+side+of+the+world/;23061;955;6;179;;http://www.imdb.com/title/tt0311113/;"2014-04-23 22:02:44";no;no;no;no
"The Little Mermaid";1989;http://www.icheckmovies.com/movies/the+little+mermaid/;61075;1836;4;194;;http://www.imdb.com/title/tt0097757/;"2014-04-23 22:02:35";no;no;no;no
"Layer Cake";2004;http://www.icheckmovies.com/movies/layer+cake/;8803;486;1;85;;http://www.imdb.com/title/tt0375912/;"2014-04-23 22:02:08";no;no;no;no
"The Last Samurai";2003;http://www.icheckmovies.com/movies/the+last+samurai/;38902;1469;2;156;;http://www.imdb.com/title/tt0325710/;"2014-04-23 22:01:59";no;no;no;no
"The Last King of Scotland";2006;http://www.icheckmovies.com/movies/the+last+king+of+scotland/;11977;650;1;139;;http://www.imdb.com/title/tt0455590/;"2014-04-23 22:01:57";no;no;no;no
"A Knight's Tale";2001;http://www.icheckmovies.com/movies/a+knights+tale/;13989;622;0;79;;http://www.imdb.com/title/tt0183790/;"2014-04-23 22:01:51";no;no;no;no
"The Invention of Lying";2009;http://www.icheckmovies.com/movies/the+invention+of+lying/;8604;255;0;73;;http://www.imdb.com/title/tt1058017/;"2014-04-23 22:01:19";no;no;no;no
"Indiana Jones and the Temple of Doom";1984;http://www.icheckmovies.com/movies/indiana+jones+and+the+temple+of+doom/;52117;1782;7;266;;http://www.imdb.com/title/tt0087469/;"2014-04-23 22:01:05";no;no;no;no
"Independence Day";1996;http://www.icheckmovies.com/movies/independence+day/;63847;1626;7;194;;http://www.imdb.com/title/tt0116629/;"2014-04-23 22:01:02";no;no;no;no
"Home Alone 2: Lost in New York";1992;http://www.icheckmovies.com/movies/home+alone+2+lost+in+new+york/;57996;894;2;127;;http://www.imdb.com/title/tt0104431/;"2014-04-23 22:00:53";no;no;no;no
Hercules;1997;http://www.icheckmovies.com/movies/hercules/;50648;1472;3;128;;http://www.imdb.com/title/tt0119282/;"2014-04-23 22:00:51";no;no;no;no
"Harry Potter and the Goblet of Fire";2005;http://www.icheckmovies.com/movies/harry+potter+and+the+goblet+of+fire/;72602;2151;2;301;;http://www.imdb.com/title/tt0330373/;"2014-04-23 21:59:35";no;no;no;no
"Harry Potter and the Half-Blood Prince";2009;http://www.icheckmovies.com/movies/harry+potter+and+the+half-blood+prince/;67657;2097;2;290;;http://www.imdb.com/title/tt0417741/;"2014-04-23 21:59:33";no;no;no;no
"Harry Potter and the Prisoner of Azkaban";2004;http://www.icheckmovies.com/movies/harry+potter+and+the+prisoner+of+azkaban/;77091;3087;5;350;;http://www.imdb.com/title/tt0304141/;"2014-04-23 21:59:27";no;no;no;no
Gremlins;1984;http://www.icheckmovies.com/movies/gremlins/;27800;997;3;213;;http://www.imdb.com/title/tt0087363/;"2014-04-23 21:59:17";no;no;no;no
"Gran Torino";2008;http://www.icheckmovies.com/movies/gran+torino/;56032;4144;8;291;;http://www.imdb.com/title/tt1205489/;"2014-04-23 21:59:11";no;no;no;no
Goodfellas;1990;http://www.icheckmovies.com/movies/goodfellas/;59234;6590;27;774;;http://www.imdb.com/title/tt0099685/;"2014-04-23 21:59:06";yes;no;no;no
"Good Will Hunting";1997;http://www.icheckmovies.com/movies/good+will+hunting/;61053;4537;8;389;;http://www.imdb.com/title/tt0119217/;"2014-04-23 21:59:03";yes;no;no;no
Goldfinger;1964;http://www.icheckmovies.com/movies/goldfinger/;28826;894;14;271;;http://www.imdb.com/title/tt0058150/;"2014-04-23 21:59:02";no;no;no;no
GoldenEye;1995;http://www.icheckmovies.com/movies/goldeneye/;35457;811;2;126;;http://www.imdb.com/title/tt0113189/;"2014-04-23 21:59:00";no;no;no;no
"The Godfather: Part II";1974;http://www.icheckmovies.com/movies/the+godfather+part+ii/;57852;6493;28;750;;http://www.imdb.com/title/tt0071562/;"2014-04-23 21:58:50";no;no;no;no
"The Godfather";1972;http://www.icheckmovies.com/movies/the+godfather/;76029;10377;35;1005;;http://www.imdb.com/title/tt0068646/;"2014-04-23 21:58:49";yes;no;no;no
Fantasia/2000;1999;http://www.icheckmovies.com/movies/fantasiaslash2000/;14098;241;1;65;;http://www.imdb.com/title/tt0120910/;"2014-04-23 21:58:32";no;no;no;no
Fantasia;1940;http://www.icheckmovies.com/movies/fantasia/;46060;1688;18;314;;http://www.imdb.com/title/tt0032455/;"2014-04-23 21:58:22";no;no;no;no
"Fahrenheit 9/11";2004;http://www.icheckmovies.com/movies/fahrenheit+9slash11/;25203;494;4;117;;http://www.imdb.com/title/tt0361596/;"2014-04-23 21:58:21";no;no;no;no
"Le fabuleux destin d'Amélie Poulain";2001;http://www.icheckmovies.com/movies/le+fabuleux+destin+damelie+poulain/;63315;9252;21;625;Amélie;http://www.imdb.com/title/tt0211915/;"2014-04-23 21:58:17";no;no;no;no
"The Exorcist";1973;http://www.icheckmovies.com/movies/the+exorcist/;55803;2440;20;569;;http://www.imdb.com/title/tt0070047/;"2014-04-23 21:58:14";no;no;no;no
"Eternal Sunshine of the Spotless Mind";2004;http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/;79154;11410;21;717;;http://www.imdb.com/title/tt0338013/;"2014-04-23 21:58:11";no;no;no;no
