title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The Bourne Identity";2002;http://www.icheckmovies.com/movies/the+bourne+identity/;55205;2393;5;247;;http://www.imdb.com/title/tt0258463/;"2014-04-23 23:43:57";no;no;no;no
"Harry Potter and the Sorcerer's Stone";2001;http://www.icheckmovies.com/movies/harry+potter+and+the+sorcerers+stone/;79873;2517;4;347;"Harry Potter and the Philosopher's Stone";http://www.imdb.com/title/tt0241527/;"2014-04-23 23:43:47";no;no;no;no
"E.T. the Extra-Terrestrial";1982;http://www.icheckmovies.com/movies/e.t.+the+extra-terrestrial/;81299;2525;24;485;;http://www.imdb.com/title/tt0083866/;"2014-04-23 23:43:27";no;no;no;no
Clerks.;1994;http://www.icheckmovies.com/movies/clerks./;30527;2537;5;279;;http://www.imdb.com/title/tt0109445/;"2014-04-23 23:43:23";no;no;yes;no
Superbad;2007;http://www.icheckmovies.com/movies/superbad/;47789;2592;4;243;;http://www.imdb.com/title/tt0829482/;"2014-04-23 23:43:17";no;no;no;no
Shrek;2001;http://www.icheckmovies.com/movies/shrek/;90242;2663;11;312;;http://www.imdb.com/title/tt0126029/;"2014-04-23 23:43:16";no;no;no;no
"North by Northwest";1959;http://www.icheckmovies.com/movies/north+by+northwest/;28213;2819;26;582;;http://www.imdb.com/title/tt0053125/;"2014-04-23 23:42:58";no;no;yes;no
"Almost Famous";2000;http://www.icheckmovies.com/movies/almost+famous/;32154;2882;8;284;;http://www.imdb.com/title/tt0181875/;"2014-04-23 23:42:47";no;no;no;no
"The Bourne Ultimatum";2007;http://www.icheckmovies.com/movies/the+bourne+ultimatum/;64586;2788;9;283;;http://www.imdb.com/title/tt0440963/;"2014-04-23 23:42:45";no;no;no;no
Jaws;1975;http://www.icheckmovies.com/movies/jaws/;72216;2937;26;648;;http://www.imdb.com/title/tt0073195/;"2014-04-23 23:42:44";no;no;no;no
"Casino Royale";2006;http://www.icheckmovies.com/movies/casino+royale/;65852;2934;7;301;;http://www.imdb.com/title/tt0381061/;"2014-04-23 23:42:43";no;no;no;no
"28 Days Later...";2002;http://www.icheckmovies.com/movies/28+days+later.../;43803;2953;8;327;;http://www.imdb.com/title/tt0289043/;"2014-04-23 23:42:40";no;no;no;no
Aladdin;1992;http://www.icheckmovies.com/movies/aladdin/;79362;3045;12;278;;http://www.imdb.com/title/tt0103639/;"2014-04-23 23:42:36";no;no;no;no
"The Terminator";1984;http://www.icheckmovies.com/movies/the+terminator/;75200;3142;18;487;;http://www.imdb.com/title/tt0088247/;"2014-04-23 23:42:23";no;no;no;no
"L.A. Confidential";1997;http://www.icheckmovies.com/movies/l.a.+confidential/;36862;3096;21;457;;http://www.imdb.com/title/tt0119488/;"2014-04-23 23:42:16";no;no;no;no
"Moulin Rouge!";2001;http://www.icheckmovies.com/movies/moulin+rougeexclamation/;41677;3204;12;333;;http://www.imdb.com/title/tt0203009/;"2014-04-23 23:42:08";no;no;no;no
"Ocean's Eleven";2001;http://www.icheckmovies.com/movies/oceans+eleven/;70754;3282;6;241;;http://www.imdb.com/title/tt0240772/;"2014-04-23 23:41:58";no;no;no;no
