title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The French Connection";1971;http://www.icheckmovies.com/movies/the+french+connection/;12146;686;19;355;;http://www.imdb.com/title/tt0067116/;"2013-04-04 23:30:25";no;no;no;no
"Four Weddings and a Funeral";1994;http://www.icheckmovies.com/movies/four+weddings+and+a+funeral/;27357;694;9;155;;http://www.imdb.com/title/tt0109831/;"2013-04-04 23:30:20";no;no;no;no
"The Blair Witch Project";1999;http://www.icheckmovies.com/movies/the+blair+witch+project/;42565;1099;9;296;;http://www.imdb.com/title/tt0185937/;"2013-04-04 23:23:59";no;no;no;no
"Quantum of Solace";2008;http://www.icheckmovies.com/movies/quantum+of+solace/;41646;486;1;130;;http://www.imdb.com/title/tt0830515/;"2013-04-04 23:19:39";no;no;no;no
"Doctor Dolittle";1998;http://www.icheckmovies.com/movies/doctor+dolittle/;39672;130;1;44;;http://www.imdb.com/title/tt0118998/;"2013-04-04 23:19:36";no;no;no;no
"Ace Ventura: When Nature Calls";1995;http://www.icheckmovies.com/movies/ace+ventura+when+nature+calls/;42708;787;1;83;"Ace Ventura Goes to Africa";http://www.imdb.com/title/tt0112281/;"2013-04-04 23:19:32";no;no;no;no
"Pearl Harbor";2001;http://www.icheckmovies.com/movies/pearl+harbor/;43307;778;1;115;;http://www.imdb.com/title/tt0213149/;"2013-04-04 23:19:19";no;no;no;no
"American Pie 2";2001;http://www.icheckmovies.com/movies/american+pie+2/;44162;392;2;103;;http://www.imdb.com/title/tt0252866/;"2013-04-04 23:19:18";no;no;no;no
Fantasia;1940;http://www.icheckmovies.com/movies/fantasia/;46022;1687;18;315;;http://www.imdb.com/title/tt0032455/;"2013-04-04 23:19:17";no;no;no;no
Casper;1995;http://www.icheckmovies.com/movies/casper/;44574;529;2;60;;http://www.imdb.com/title/tt0112642/;"2013-04-04 23:19:16";no;no;no;no
Signs;2002;http://www.icheckmovies.com/movies/signs-2002-1/;43543;922;2;132;;http://www.imdb.com/title/tt0286106/;"2013-04-04 23:19:14";no;no;no;no
"Iron Man 2";2010;http://www.icheckmovies.com/movies/iron+man+2/;50265;1208;2;260;;http://www.imdb.com/title/tt1228705/;"2013-04-04 23:19:12";no;no;no;no
Click;2006;http://www.icheckmovies.com/movies/click/;45907;676;2;113;;http://www.imdb.com/title/tt0389860/;"2013-04-04 23:19:11";no;no;no;no
Hitch;2005;http://www.icheckmovies.com/movies/hitch/;44883;658;2;80;;http://www.imdb.com/title/tt0386588/;"2013-04-04 23:19:10";no;no;no;no
"The Ring";2002;http://www.icheckmovies.com/movies/the+ring-2002-1/;46005;965;4;199;;http://www.imdb.com/title/tt0298130/;"2013-04-04 23:19:08";no;no;no;no
